filename,filesize,entropy
XIMAGE3B.DLL,1181520,6.627551562976901
QT2.dll,7680,5.318221212332834
_PyAudioMixer.pyd,57872,6.507757509400918
MsMpRes.dll.mui,95616,4.575091713885185
MultiDigiMon.exe,48128,5.5455314014318065
MacDrive Standard 9.3.1.1 en Setup.exe,13411640,7.999276721726789
CLHBMixer.ax,397936,6.295515117996485
_image.pyd,61968,5.766048864963969
PnPUnattend.exe,54272,6.00272676875526
mysqldump.exe,4079104,3.8041309953238134
icutu36.dll,106496,6.089724790530797
HPSFReporter.exe,26528,3.9546124779439027
ACECNFLT.EXE,56192,5.491776623610539
dts.dll,787048,5.864199725982959
PresentationFramework.Royale.dll,163840,5.6781466327501855
ConfigSecurityPolicy.exe,287720,6.4599234280252285
ieinstal.exe,467456,5.794842002289455
mozutils.dll,45016,6.72830615309447
WindowsServer2003.WindowsXP-KB958655-v2-x64-ENU.exe,2904952,7.997965726306521
vcredistmin_x86.exe,4051984,7.998835595872227
launchAP.exe,17152,5.764449137694043
ComTruSurroundXT.dll,184320,6.160023201432731
VDK150a.dll,8192,4.769481266768751
comp.exe,21504,5.846005817309421
mysqladmin.exe,4023808,3.760440707503186
cmdkey.exe,14336,5.579800684491977
MSOLAP80.RLL,219888,3.4437182211366113
msdtc.exe,136192,6.033295851260645
CES_SubtitleManager.dll,102928,6.045276442462991
DiagResENU.dll,51320,4.983024756439078
ucsvc.exe,45568,6.1269641475497485
TWRECC.DLL,33088,6.895963823808795
CLVistaAudioMixer.dll,167440,6.6621873839880985
HP.SupportFramework.ServiceManager.dll,29088,5.696597383801666
wmplayer.exe.mui,3072,3.6739401382776387
RebootCheck.exe,54600,6.226295413640636
MpCommu.dll,224768,6.4342372617554915
OFFICE10.DLL,14688,6.3776013247154735
tscon.exe,19968,5.992747495730382
CertEnrollCtrl.exe,70144,4.9545532423750664
w3wp.exe,21504,5.4391264943613145
mxLvProvider.mxx,2014808,6.630389016722848
MigAutoPlay.exe,92912,6.649492069782774
ACEODTXT.DLL,15160,6.363294729980951
CLTzan.ax,340512,6.11823812300926
mtstocom.exe,115712,6.539503530633654
WindowsBase.dll,1253376,5.613086204669008
RunLegacyCPLElevated.exe,58368,6.215910681277263
WzBanner.dll,12538184,1.5795611281284794
hp.mobile.shared.dll,58272,5.944411003606763
xcopy.exe,38400,6.2178503474386595
PasswordOnWakeSettingFlyout.exe,19968,5.576421120829001
JDownloaderSetup.exe,26440904,7.993373677582997
TrialRes_Fin.dll,15944,5.548933672959481
wintty.exe,20564,2.697976067852435
pscParse.dll,221184,5.942622934551854
sqlxmlx.dll,266240,6.239409355425987
MSTTSDecWrp.dll,47616,6.213353757894654
xerces-c_2_8.dll,1893672,6.380886396824882
SearchIndexer.exe,671232,6.378125023237137
wabmig.exe,65536,6.264424622984579
gencomp2.dll,1059328,6.428030106103181
WinSDK_NetFxTools.exe,13130768,7.999739964802473
WMM2CLIP.dll,242176,6.568697627999721
REGrt_CSY.dll,19472,5.713314675342297
HP.SupportAssistant.UIController.dll,250784,5.944965827950952
FzGSS.dll,82944,6.369040489860201
rdParse.dll,229376,5.959021171528724
d3dim9.dll,247712,5.5567537471018
EpeHpTokenPassword.dll,221184,6.648873833327671
msinfo32.exe,319488,6.802624452080096
rdi_en_4.exe,12381520,7.999819211747205
directshowtap.ax,46592,6.022221122363835
fc.exe,20992,5.857633367782435
VBE6INTL.DLL,162632,3.9832544562122636
mraut.dll,6283264,4.4397504305812365
MiscDialogs.dll,464928,6.43388094718056
Microsoft.VisualStudio.Tools.Applications.Blueprints.tlb,30208,4.420740200137153
extensibility.dll,4608,4.098881887043321
VSSWrapper64.exe,101408,6.213722591068701
teamresenu.dll,176248,7.2762417542927045
vs70uimgr2.dll,627712,6.325806258653351
ImagingEngine.dll,1853440,6.70894741507752
P2GRGL.ax,98848,5.695931627084219
PICTIM32.FLT,62256,6.551445271465744
htmllite2.dll,177152,6.520159559664156
php5apache2_2.dll,36941,3.9458717088098316
MODHLPUI.DLL,12104,6.097678127501466
dasHost.exe,45056,6.304069844920544
TWCUTLIN.DLL,86840,6.708773626714263
DW20.EXE,620088,7.189810804533995
snksec32.dll,181104,6.538754330945242
hxdsui2.dll,18696,5.1840845184185795
RECOVR32.CNV,31528,6.340369082677727
tskill.exe,20992,5.915772832584821
Rar.exe,378880,6.418868053679672
SystemResetPlatform.exe,10752,4.816311746096219
takeown.exe,54272,6.234923252681093
mysqld-debug.exe,12341760,6.046653711198118
CES_ParticleEngine.dll,262672,6.2351640307406395
IMSCDICCOMPILER.EXE,39424,6.001317755885724
DW202.EXE,633848,7.180995069287877
attrib.exe,17920,5.642610234572482
XPAGE3C.DLL,530760,6.262511817520746
SetMBR.exe,437320,6.718186519936339
coloader.dll,57344,6.028573286174816
dte80a.olb,374272,4.850999220920295
msmdsrv.rll,599840,4.08471126548453
FlickLearningWizard.exe,790016,5.83136999021195
Flash6A.exe,606848,7.77588156957005
DPPreferences.dll,394064,6.403249038297858
rdbgsetup.exe,4316672,7.9990245588183795
taskeng.exe,239616,5.308815696138135
help.exe,9728,4.973922347323388
WinSDK_Tools.exe,5853704,7.999041691943399
PrintIsolationHost.exe,73728,6.30077227963136
DpoPS.dll.mui,10096,6.124894248463284
D3DCompiler_43.dll,2106216,6.4563314852745375
launchHPReg.exe,12856,6.0976818022635895
FireFoxBHO.dll,24696,6.448766052154314
LDCdBldr32.dll,321352,6.624720396423843
wabfind.dll,33280,5.572492043292423
ltfil13n.DLL,169560,5.90210335294466
WWAHost.exe,333824,6.491403884562367
sessionmsg.exe,64440,6.53660704773304
setup_wm.exe,1967616,5.74817860072051
HPTouchCheck.exe,269216,6.57359833815182
TSDiag3.exe,577080,6.686877083729761
icuio36.dll,53248,4.708528853335379
DPActivationOS.dll,165200,6.380507521551184
NCS2Diag.dll,137336,6.184228950882737
PrintBrmUi.exe,64512,5.777096152279686
plds4.dll,20952,6.655729983863849
JSProfilerCore.dll,49664,6.170969455730416
wpnpinst.exe,17408,5.713358341212947
appidcertstorecheck.exe,15872,5.430120864479511
OFFDIAG.EXE,2872112,6.793886713742296
crashreporter.exe,125912,5.916033541258594
tipresx.dll,12288,1.6063852216473178
HP.SupportFramework.Logging.dll,225696,7.242206464920079
DPHomeAdm.dll.mui,12664,5.795354607133712
msvcr71.dll,348160,6.542820064620783
splwow64.exe,109056,6.465358413863567
WzWFR64.dll.mui,40960,4.285637479266955
DetectLang.exe,257096,7.018826811965127
resolveip.exe,3452416,3.194182448622418
MpRTP.dll,153088,6.435979027420873
SpaceAgent.exe,89088,6.3015627038785755
TUBP32.exe,15776,6.227469251590447
CLMLInst.exe,90640,5.615787541178506
UIAutomationClient.dll,172032,5.699202411663929
System.Web.Abstractions.dll,77824,4.87397878607076
cmak.exe,498176,6.144838302778538
DPWGClient.dll,101712,6.040730193222703
OSETUPPS.DLL,46936,6.5901641675336124
qico4.dll,28672,6.062996888899677
