ID,fileName,MD5hash,Total,Positive,Type-TrendMicro,Type-F-Secure,Scan-Date
1,XIMAGE3B.DLL,e73041ae8d5b79c41e11211f3b101cf9,54,0,,,2014-10-21 10:27:58
2,SYBEXFF.EXE,06323328deddeffa01fdd73eb593e21f,48,1,,,2014-01-14 13:28:25
3,QT2.dll,c5145340f019b7a7d8a9ec9ce847ff4c,55,0,,,2014-11-27 01:35:56
4,_PyAudioMixer.pyd,c96c44430eea8079133d835f0585cee8,54,0,,,2014-11-07 14:03:45
5,MsMpRes.dll.mui,7975a39968baea5df048eeef50d2785b,42,0,,,2011-07-04 07:11:30
6,MultiDigiMon.exe,2bb371b8f844f2e8ba4fe5c545bbe4ac,56,0,,,2015-01-13 03:02:42
7,MacDrive Standard 9.3.1.1 en Setup.exe,25ec1518f23426213579bc36fd98862d,57,0,,,2015-02-22 18:46:57
8,uspCSV.dll,e958742c9938c0b4a28c8a7ac4341704,,,,,
9,CLHBMixer.ax,6c73b97efa836f5a315ea56c21f56a37,57,0,,,2015-02-19 11:18:06
10,_image.pyd,b91954b28ec429fc70873dc95b7aa7f3,55,0,,,2015-01-25 11:47:48
11,PnPUnattend.exe,590ab710dc9053a34d103c649f6f799a,56,0,,,2015-01-12 01:57:09
12,CLCALib.dll,5488f87cb98bb4230c22e751caa46794,,,,,
13,mysqldump.exe,bb4383253490356f1caf2333b131b56c,54,0,,,2015-02-17 10:47:09
14,icutu36.dll,6077f4f55f5aaa113f64074e6d662f08,56,0,,,2015-02-17 10:44:30
15,HPSFReporter.exe,fc1b79778ca70bc362830c85b10a3a08,46,0,,,2013-12-05 14:02:53
16,ACECNFLT.EXE,6dbbab5dc0d7038c9336d30d8dd846e5,57,0,,,2015-01-28 17:17:13
17,dts.dll,aa5ca006648aff6082889b039cf38148,52,0,,,2014-05-12 18:08:46
18,PresentationFramework.Royale.dll,13e8ec241ca1402c923df3a1da9caf70,57,0,,,2015-02-18 05:14:19
19,ConfigSecurityPolicy.exe,ffe834001e5a67d4772020aef1000264,54,0,,,2014-10-24 19:28:47
20,ieinstal.exe,65b3371d13b9f959a03645791de6c33c,56,0,,,2015-01-09 13:44:43
21,mozutils.dll,c87056e9c1275f677b22709062045d1d,55,0,,,2014-11-19 17:36:26
22,WindowsServer2003.WindowsXP-KB958655-v2-x64-ENU.exe,2097a33f98513a710a4174eb0f1d5f23,57,0,,,2015-01-27 13:28:28
23,vcredistmin_x86.exe,5913c2665f4e04935df5075c67bfa45c,54,0,,,2014-11-09 21:38:37
